Category,Attribute,Price,Currency,XCH_Equivalent,NFT_Edition,Trade_Date
"Base","Wojak",3,"XCH",3.0000,386,"2026-01-12"
"Face","NPC",3,"XCH",3.0000,386,"2026-01-12"
"Mouth","Joint",3,"XCH",3.0000,386,"2026-01-12"
"Face Wear","Laser Eyes",3,"XCH",3.0000,386,"2026-01-12"
"Head","Crown",3,"XCH",3.0000,386,"2026-01-12"
"Clothes","Straitjacket",3,"XCH",3.0000,386,"2026-01-12"
"Background","Sky Dive",3,"XCH",3.0000,386,"2026-01-12"
"Base","Soyjak",1,"XCH",1.0000,2048,"2026-01-12"
"Face","Classic",1,"XCH",1.0000,2048,"2026-01-12"
"Mouth","Screaming",1,"XCH",1.0000,2048,"2026-01-12"
"Face Wear","Ninja Turtle Mask",1,"XCH",1.0000,2048,"2026-01-12"
"Head","No Headgear",1,"XCH",1.0000,2048,"2026-01-12"
"Clothes","Sonic Suit",1,"XCH",1.0000,2048,"2026-01-12"
"Background","$CHIA",1,"XCH",1.0000,2048,"2026-01-12"
"Base","Soyjak",4,"XCH",4.0000,2006,"2026-01-12"
"Face","Classic",4,"XCH",4.0000,2006,"2026-01-12"
"Mouth","Smile",4,"XCH",4.0000,2006,"2026-01-12"
"Face Wear","Shades",4,"XCH",4.0000,2006,"2026-01-12"
"Head","No Headgear",4,"XCH",4.0000,2006,"2026-01-12"
"Clothes","Astronaut",4,"XCH",4.0000,2006,"2026-01-12"
"Background","Signal Lost",4,"XCH",4.0000,2006,"2026-01-12"
"Base","Soyjak",1,"XCH",1.0000,2041,"2026-01-10"
"Face","Terminator",1,"XCH",1.0000,2041,"2026-01-10"
"Mouth","Smile",1,"XCH",1.0000,2041,"2026-01-10"
"Face Wear","Alpha Shades",1,"XCH",1.0000,2041,"2026-01-10"
"Head","No Headgear",1,"XCH",1.0000,2041,"2026-01-10"
"Clothes","Pickle Suit",1,"XCH",1.0000,2041,"2026-01-10"
"Background","Neo Mint",1,"XCH",1.0000,2041,"2026-01-10"
"Base","Waifu",1.1,"XCH",1.1000,2770,"2026-01-11"
"Face","Classic",1.1,"XCH",1.1000,2770,"2026-01-11"
"Mouth","Cohiba",1.1,"XCH",1.1000,2770,"2026-01-11"
"Face Wear","Eye Patch",1.1,"XCH",1.1000,2770,"2026-01-11"
"Head","Ronin Helmet",1.1,"XCH",1.1000,2770,"2026-01-11"
"Clothes","Born to Ride",1.1,"XCH",1.1000,2770,"2026-01-11"
"Background","$HOA",1.1,"XCH",1.1000,2770,"2026-01-11"
"Base","Soyjak",1,"XCH",1.0000,2384,"2026-01-11"
"Face","Classic",1,"XCH",1.0000,2384,"2026-01-11"
"Mouth","Gold Teeth",1,"XCH",1.0000,2384,"2026-01-11"
"Face Wear","Tyson Tattoo",1,"XCH",1.0000,2384,"2026-01-11"
"Head","Super Saiyan",1,"XCH",1.0000,2384,"2026-01-11"
"Clothes","Ronin",1,"XCH",1.0000,2384,"2026-01-11"
"Background","Hot Coral",1,"XCH",1.0000,2384,"2026-01-11"
"Base","Papa Tang",1.25,"XCH",1.2500,3328,"2026-01-10"
"Face","Rekt",1.25,"XCH",1.2500,3328,"2026-01-10"
"Mouth","Pizza",1.25,"XCH",1.2500,3328,"2026-01-10"
"Face Wear","No Face Wear",1.25,"XCH",1.2500,3328,"2026-01-10"
"Head","Centurion",1.25,"XCH",1.2500,3328,"2026-01-10"
"Clothes","Sports Jacket",1.25,"XCH",1.2500,3328,"2026-01-10"
"Background","$CHIA",1.25,"XCH",1.2500,3328,"2026-01-10"
"Base","Alien Wojak",1,"XCH",1.0000,3684,"2026-01-07"
"Face","Classic",1,"XCH",1.0000,3684,"2026-01-07"
"Mouth","Copium Mask",1,"XCH",1.0000,3684,"2026-01-07"
"Face Wear","No Face Wear",1,"XCH",1.0000,3684,"2026-01-07"
